"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration","willpay","daily_task_cnt"
"24db3bba-7426-4ace-9713-4c3c49001d6d","BD","127","1",,,"596","269620","752",,,,,"6",,"7","41","1180","4052807","2200734","563497",,
"33973e32-9d0d-4434-8d24-4f3794e9204f","GB","146","9","5","5","0","352400","966","9",,"5","4","10",,"2","10","1094","1706495","4822263",,,"13"
"02e474fd-6880-4534-bdae-a9b8a1f56958","RO","203","7","22","22","1200","817400","2025",,,"76","50","6",,"8","80","2207","7018405","12949530","11846543",,"13"
"b35dfcfa-6fba-4083-972e-29e56a4d320e","ES","155","1","23","23","30","410500","938",,,"27","17",,,"7","40","1411","8698996",,"2700279",,"7"
"a7efe0da-e24c-47d8-b511-2dd0a81d095e","BN","170",,,,"840","510300","876",,,"2","1","3",,"10","1","1593","6880620","5680280","912950",,
"108afb05-9e4f-47bc-9c77-ce1b8b3d5205","CZ","155","6","35","35","1371","396600","1338","6",,"12","6","4",,"5","7","1418","1151774","8142390","1564955",,"11"
"8a5a19d0-1ce6-42e5-bb09-87f537bde27f","RU","102","1","17","17","0","397400","2092","1","1","16","9","13",,"6","200","1993","5725012","1872677","1764490",,"15"
"d9a9104b-e6fd-4a65-9b6c-5c05bec5e8d1","HK","71","4","2","2","580","238060","834","1",,"30","16","9",,"4","49","938","2018287",,"9064823",,"12"
"9016f7a0-5def-4beb-94bd-ffe5f8aacc2d","UA","105","25","11","11","1760","456800","1429","1",,"14","7","9",,"12","41","1283","4051975","2093455","122269",,"19"
"94e6d4c7-491a-4dd2-a0f7-163b0bd97ac6","RO","126","6","1","1","1250","262400","952","5",,"2","2","3",,"5","40","1096","3879818","1322696",,,"8"
"757e8382-4cb3-4587-ae2f-721ce9a7d4ed","GE","297","82","31","31","3360","1776000","3343","5",,"26","16","12",,"12","143","3465","506868","18834424","1755892",,"12"
"e0426117-5a97-4030-93f8-711c23ffac96","CA","155","59","14","14","1470","653000","1472","17",,"25","21","16",,"10","40","1771","13304113","2861494","1637552",,
"e1d92041-d336-4634-a0a4-6986f629b44a","AR","121",,,,"400","292400","588",,,"44","15",,,"6","40","1080","16373170","1396600",,,
"b1d8b622-b415-4bf5-bf4a-4eeac58ec39a","KR","100","14","42","42","1196","262220","884","2",,"4","2","5",,"4","5","1136","203000","3931038","2536170",,"12"
"ace01eb4-b86c-4a5c-888c-2393fbd428f0","TW","61",,"10","10","100","68520","148",,,,,"2",,"2","32","782","3364689","1827363",,,
