level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,0
73,4,0,0,0,100500,288,0,0,4,2,0,0,1,40,744,4559303,0,4881259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,869,395900,940,0,0,4,2,0,0,2,80,1006,0,0
29,0,0,0,0,26800,66,0,0,0,0,2,0,2,20,334,1952844,6135044,3577744,0,0,86,8,1,1,1490,448000,1044,0,0,3,3,0,0,2,36,846,10,34,1,9,9,370,210000,530,0,0,0,0,0,0,2,0,333,4,0
129,42,10,10,911,742100,2023,0,0,67,39,19,0,4,43,1631,21146084,20543721,19440440,0,20,175,11,24,24,3870,1164500,2816,1,2,28,21,17,0,9,70,1907,6,222,15,20,20,3316,1305300,3006,2,0,37,28,8,0,7,82,2210,7,0
120,9,15,15,1092,331700,947,8,1,9,4,10,0,7,25,1144,8213232,6811084,3714366,0,9,61,3,20,20,1269,357500,1076,3,0,3,1,19,0,3,19,771,7,51,2,4,4,1304,227000,1474,2,0,1,0,8,0,4,10,483,3,0
185,7,21,21,1860,652400,1484,7,0,40,22,21,0,3,40,1676,13351761,4679279,10630906,4,7,31,1,30,30,2160,885000,2138,1,3,0,0,16,1,4,80,1110,7,64,6,36,36,2080,1052000,2104,5,2,25,17,10,0,4,80,1317,7,0
125,2,0,0,0,262400,903,2,0,3,2,0,0,4,27,1025,6138538,1210874,2188590,0,11,35,0,0,0,0,120000,295,0,0,0,0,2,0,5,0,217,1,55,0,0,0,400,225000,919,0,0,0,0,2,0,3,19,450,4,0
50,0,20,20,499,119560,152,0,0,0,0,1,0,3,6,602,3057075,1528360,9705920,0,6,16,0,11,11,60,54000,648,0,0,0,0,1,0,3,5,300,6,137,5,10,10,1200,689740,1927,0,0,11,10,7,0,15,81,1631,7,0
40,0,0,0,0,17820,0,0,0,0,0,0,0,1,0,239,1796750,8236302,67627,0,0,156,28,1,1,1320,604580,960,1,0,1,1,0,0,3,0,1196,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
40,1,23,23,410,233660,636,0,0,0,0,3,0,2,74,871,3856738,3279841,74812,0,10,23,0,20,20,600,133740,670,0,0,8,6,1,0,1,5,334,7,7,1,0,0,0,60000,0,1,0,2,3,0,0,0,0,59,0,0
15,1,0,0,0,31320,126,0,0,0,0,0,0,2,25,270,1532637,10023486,2513780,0,0,166,1,0,0,1436,621080,1228,0,1,3,3,1,0,6,60,1496,5,59,0,0,0,790,225000,505,0,0,0,0,0,0,4,0,403,3,0
81,0,0,0,0,79320,120,0,0,16,10,4,0,4,0,572,8342601,8605363,9281702,0,0,72,0,0,0,0,334880,588,0,0,8,7,1,0,2,0,571,0,46,35,0,0,0,375000,370,0,0,2,1,0,0,6,0,592,4,0
80,8,2,2,650,181220,465,8,0,7,6,7,0,4,40,854,5024161,3203796,3714829,0,7,45,2,8,8,1330,308200,1301,1,0,1,1,10,0,2,62,767,7,47,5,8,8,980,612080,1218,1,0,1,1,6,0,5,70,850,7,0
10,0,0,0,0,3720,0,0,0,0,0,0,0,1,0,73,255137,2392967,0,0,0,46,6,0,0,0,34940,180,6,0,0,0,3,0,1,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
