country,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
PH,153,16,0,0,1441,627000,1572,15,0,5,3,14,0,3,80,1547,8781818,2412915,0,0,3,12,14,0,0,495,462900,1255,14,0,0,0,3,0,2,80,680,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PT,261,9,4,4,800,736400,1801,1,0,0,0,11,0,3,44,1946,13136153,5519338,0,0,6,109,0,0,0,0,570000,1474,0,0,0,0,3,0,5,40,970,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
NL,100,4,0,0,400,226120,596,4,0,14,10,0,0,5,80,1163,7587080,2542221,537425,0,0,58,4,0,0,700,237480,360,3,0,0,0,0,0,4,0,407,0,12,0,0,0,250,45000,120,0,0,0,0,0,0,2,0,93,0,1,1,1,1
PT,85,19,27,27,880,196160,516,18,0,12,8,1,0,1,24,1085,8512419,3306521,176957,0,7,42,6,0,0,400,226440,410,6,0,3,1,0,0,3,0,347,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,1,1,1,1
HU,60,22,7,7,0,193700,497,3,0,0,0,6,0,4,35,800,20938299,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
RE,11,0,0,0,0,2160,0,0,0,0,0,0,0,2,0,101,695149,7250121,0,0,0,89,0,4,4,132,157340,358,0,0,2,2,0,0,3,13,780,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GP,63,0,0,0,0,48820,34,0,0,0,0,10,0,2,3,584,4338646,1152215,0,0,1,2,0,0,0,93,43380,225,0,0,0,0,0,0,1,13,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BD,73,1,0,0,400,94600,394,0,0,2,1,5,0,7,22,616,3912193,0,1635479,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,9,300,63020,195,0,0,0,0,0,0,2,10,252,0,1,1,1,1
HU,60,11,20,20,400,158120,391,0,0,0,0,8,0,5,15,687,4124820,7803121,0,0,7,30,2,28,28,430,194880,663,0,0,35,11,3,0,4,0,476,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ES,86,17,2,2,770,262400,710,6,0,6,2,2,0,3,37,984,4310870,7081546,5478672,0,12,92,40,18,18,1860,930000,1606,27,2,4,3,5,0,6,42,1339,8,58,31,28,28,1700,782000,1629,14,2,3,1,3,0,4,44,1097,7,1,1,1,1
ES,60,1,20,20,0,115160,198,1,0,0,0,4,0,3,25,753,3309902,10048285,4059130,0,6,67,0,24,24,40,417240,1492,0,0,37,22,5,0,4,40,988,7,74,0,12,12,60,362000,1026,0,0,7,5,7,0,6,8,655,2,1,1,1,1
ES,66,0,0,0,500,57200,192,0,0,0,0,3,0,1,5,480,2934047,2878152,108629,0,4,43,0,0,0,200,124020,504,0,0,2,2,3,0,1,5,353,6,1,0,0,0,0,0,96,0,0,0,0,1,0,1,0,16,0,1,1,1,1
IN,30,2,0,0,0,21900,28,0,0,0,0,1,0,13,7,439,3710278,727220,0,0,0,5,0,0,0,0,4500,0,0,0,0,0,0,0,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
RU,85,114,0,0,1250,967400,1183,104,0,15,11,8,0,2,112,2054,22686819,28620813,6406646,0,12,115,167,0,0,1980,1875000,1700,167,1,24,17,14,0,3,56,2228,5,15,71,6,6,1020,1005000,967,71,1,0,0,6,0,4,56,970,6,1,1,1,1
EG,37,0,0,0,0,42820,117,0,0,0,0,5,0,1,9,312,1429390,1846193,0,0,4,61,6,0,0,393,80700,322,0,0,0,0,3,0,2,0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RU,70,51,20,20,500,179120,337,50,0,0,0,6,0,2,15,1049,7004585,35347590,3067252,3,7,205,322,20,20,2910,3311280,3724,322,1,44,36,23,1,8,119,4305,7,15,12,20,20,60,294000,1129,12,1,0,0,5,0,4,20,450,7,1,1,1,1
IR,90,1,0,0,0,115160,347,1,0,0,0,18,0,3,4,662,6021243,13464676,9757624,0,0,60,3,0,0,858,301540,613,3,1,34,10,32,0,7,0,709,0,3,0,0,0,550,90000,460,0,0,46,8,10,0,7,3,214,0,1,1,1,1
CO,26,34,0,0,0,50600,36,0,0,0,0,0,0,2,10,432,2658667,16172858,1067290,0,0,102,98,37,37,940,655800,1004,0,1,46,19,15,0,6,16,1673,6,8,6,6,6,370,149000,211,0,0,5,0,2,0,3,1,155,0,1,1,1,1
DE,14,0,0,0,0,42420,168,0,0,0,0,0,0,2,40,346,1380057,700719,5346912,0,0,18,0,0,0,0,6180,0,0,0,0,0,0,0,1,0,109,0,69,54,0,0,790,435800,750,54,0,2,2,3,0,3,80,1269,10,1,1,1,1
RO,50,1,4,4,0,57200,146,0,0,0,0,3,0,1,7,419,3255115,6099113,7764749,2,7,70,0,25,25,1170,250200,1082,0,0,11,10,6,0,5,17,770,10,32,37,14,14,500,639000,1598,24,0,6,5,5,0,3,50,927,10,1,1,1,1
BD,51,1,0,0,0,51200,140,0,0,0,0,1,0,4,0,382,2575938,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ES,113,3,1,1,1076,296720,801,3,0,3,3,4,0,7,49,1127,6052669,3414984,2250556,0,5,58,0,0,0,792,261080,903,0,1,1,0,3,0,2,16,554,1,4,4,0,0,715,195000,547,4,1,6,5,5,0,2,34,360,5,1,1,1,1
DE,6,0,0,0,0,300,0,0,0,0,0,0,0,1,0,47,204801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,500,44520,183,0,0,0,0,5,0,1,26,235,3,0,1,0,1
